Country/Territory,UN Region,IMF,IMF,World Bank,World Bank,United Nations,United Nations
Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
,,,,,,,
Monaco,Europe,—,—,"234,316",2021,"234,317",2021
Liechtenstein,Europe,—,—,"157,755",2020,"169,260",2021
Luxembourg,Europe,"132,372",2023,"133,590",2021,"133,745",2021
Bermuda,Americas,—,—,"114,090",2021,"112,653",2021
Ireland,Europe,"114,581",2023,"100,172",2021,"101,109",2021
Norway,Europe,"101,103",2023,"89,154",2021,"89,242",2021
Switzerland,Europe,"98,767",2023,"91,992",2021,"93,525",2021
Isle of Man,Europe,—,—,"87,158",2019,—,—
Cayman Islands,Americas,—,—,"86,569",2021,"85,250",2021
Singapore,Asia,"91,100",2023,"72,794",2021,"66,822",2021
Qatar,Asia,"83,891",2023,"66,838",2021,"66,799",2021
United States,Americas,"80,034",2023,"70,249",2021,"69,185",2021
Channel Islands,Europe,—,—,"75,153",2007,—,—
Iceland,Europe,"75,180",2023,"68,728",2021,"69,133",2021
Faroe Islands,Europe,—,—,"69,010",2021,—,—
Denmark,Europe,"68,827",2023,"68,008",2021,"68,037",2021
Australia,Oceania,"64,964",2023,"60,443",2021,"66,916",2021
Greenland,Americas,—,—,"54,571",2020,"58,185",2021
Netherlands,Europe,"61,098",2023,"57,768",2021,"57,871",2021
Austria,Europe,"56,802",2023,"53,638",2021,"53,840",2021
Israel,Asia,"55,535",2023,"52,171",2021,"54,111",2021
Sweden,Europe,"55,395",2023,"61,029",2021,"60,730",2021
Finland,Europe,"54,351",2023,"53,655",2021,"53,703",2021
Belgium,Europe,"53,377",2023,"51,247",2021,"51,166",2021
Canada,Americas,"52,722",2023,"51,988",2021,"52,112",2021
San Marino,Europe,"52,949",2023,"45,320",2020,"50,425",2021
Hong Kong,Asia,"52,429",2023,"49,801",2021,"49,259",2021
British Virgin Islands,Americas,—,—,—,—,"49,444",2021
Germany,Europe,"51,383",2023,"51,204",2021,"51,073",2021
Macau,Asia,"50,571",2023,"43,874",2021,"43,555",2021
United Arab Emirates,Asia,"49,451",2023,"44,316",2021,"43,295",2021
New Zealand,Oceania,"48,826",2023,"48,781",2021,"48,824",2021
United Kingdom,Europe,"46,371",2023,"46,510",2021,"46,542",2021
Andorra,Europe,"44,486",2023,"42,137",2021,"42,066",2021
France,Europe,"44,408",2023,"43,659",2021,"44,229",2021
US Virgin Islands,Americas,—,—,"39,552",2020,—,—
European Union,Europe,"39,940",2023,"38,411",2021,"31,875",2021
Puerto Rico,Americas,"38,567",2023,"32,641",2021,"32,716",2021
New Caledonia,Oceania,—,—,"37,160",2021,"34,994",2021
Guam,Oceania,—,—,"35,905",2021,—,—
Malta,Europe,"36,989",2023,"33,487",2021,"33,642",2021
Italy,Europe,"36,812",2023,"35,658",2021,"35,579",2021
Bahamas,Americas,"35,458",2023,"27,478",2021,"27,478",2021
Japan,Asia,"35,385",2023,"39,313",2021,"39,650",2021
Brunei,Asia,"35,103",2023,"31,449",2021,"31,449",2021
Taiwan,Asia,"33,907",2023,—,—,—,—
Cyprus,Asia,"33,807",2023,"31,552",2021,"32,281",2021
Kuwait,Asia,"33,646",2023,"24,300",2020,"32,150",2021
South Korea,Asia,"33,393",2023,"34,998",2021,"34,940",2021
Aruba,Americas,"33,094",2023,"29,342",2021,"29,342",2021
Slovenia,Europe,"32,214",2023,"29,291",2021,"29,135",2021
Czech Republic,Europe,"31,368",2023,"26,821",2021,"26,809",2021
Spain,Europe,"31,223",2023,"30,104",2021,"30,058",2021
Estonia,Europe,"31,209",2023,"27,944",2021,"27,991",2021
Saudi Arabia,Asia,"29,922",2023,"23,186",2021,"23,186",2021
Bahrain,Asia,"28,385",2023,"26,563",2021,"26,563",2021
Sint Maarten (Dutch part),Americas,—,—,"28,988",2018,"26,199",2021
Lithuania,Europe,"28,094",2023,"23,723",2021,"23,844",2021
Portugal,Europe,"26,012",2023,"24,568",2021,"24,651",2021
Latvia,Europe,"25,136",2023,"21,148",2021,"21,267",2021
Northern Mariana Islands,Oceania,—,—,"23,707",2019,—,—
Saint Martin (French part),Americas,—,—,"21,921",2014,—,—
Turks and Caicos Islands,Americas,—,—,"20,909",2021,"20,909",2021
Slovakia,Europe,"23,457",2023,"21,392",2021,"21,390",2021
Greece,Europe,"22,595",2023,"20,193",2021,"20,571",2021
Oman,Asia,"21,960",2023,"19,510",2021,"19,509",2021
Uruguay,Americas,"21,677",2023,"17,313",2021,"17,313",2021
Barbados,Americas,"21,085",2023,"17,226",2021,"17,225",2021
Guyana,Americas,"20,539",2023,"9,999",2021,"9,999",2021
Croatia,Europe,"20,537",2023,"17,685",2021,"16,983",2021
Poland,Europe,"19,912",2023,"18,000",2021,"17,736",2021
Trinidad and Tobago,Americas,"19,858",2023,"16,033",2021,"16,033",2021
Seychelles,Africa,"19,536",2023,"14,653",2021,"12,085",2021
Hungary,Europe,"19,385",2023,"18,728",2021,"18,728",2021
French Polynesia,Oceania,—,—,"19,915",2021,"19,915",2021
Cook Islands,Oceania,—,—,—,—,"19,264",2021
Anguilla,Americas,—,—,—,—,"19,216",2021
Romania,Europe,"18,530",2023,"14,858",2021,"14,698",2021
Antigua and Barbuda,Americas,"18,244",2023,"15,781",2021,"15,246",2021
Saint Kitts and Nevis,Americas,"17,856",2023,"18,083",2021,"18,083",2021
Curaçao,Americas,—,—,"17,718",2021,"14,183",2021
Montserrat,Americas,—,—,—,—,"16,199",2021
Chile,Americas,"17,827",2023,"16,265",2021,"16,265",2021
Maldives,Asia,"17,626",2023,"10,366",2021,"10,366",2021
Panama,Americas,"17,350",2023,"14,618",2021,"14,618",2021
American Samoa,Oceania,—,—,"15,743",2021,—,—
Bulgaria,Europe,"14,893",2023,"12,222",2021,"12,207",2021
Palau,Oceania,"14,804",2023,"12,084",2021,"12,084",2021
Costa Rica,Americas,"14,733",2023,"12,472",2021,"12,472",2021
Russia,Europe,"14,403",2023,"12,195",2021,"12,259",2021
China,Asia,"13,721",2023,"12,556",2021,"12,437",2021
Argentina,Americas,"13,709",2023,"10,636",2021,"10,761",2021
World,World,"13,440",2023,"12,235",2021,"12,230",2021
Malaysia,Asia,"13,382",2023,"11,109",2021,"11,101",2021
Turkmenistan,Asia,"13,065",2023,"7,345",2019,"8,508",2021
Mexico,Americas,"12,673",2023,"10,046",2021,"10,046",2021
Kazakhstan,Asia,"12,306",2023,"10,374",2021,"10,055",2021
Saint Lucia,Americas,"12,264",2023,"9,414",2021,"9,824",2021
Cuba,Americas,—,—,"9,500",2020,"11,255",2021
Turkey,Asia,"11,931",2023,"9,661",2021,"9,661",2021
Nauru,Oceania,"11,825",2023,"10,648",2021,"12,390",2021
Mauritius,Africa,"11,548",2023,"9,106",2021,"8,873",2021
Dominican Republic,Americas,"11,308",2023,"8,477",2021,"8,477",2021
Montenegro,Europe,"11,289",2023,"9,466",2021,"9,252",2021
Grenada,Americas,"11,137",2023,"9,011",2021,"8,950",2021
Serbia,Europe,"10,849",2023,"9,230",2021,"8,643",2021
Equatorial Guinea,Africa,"9,777",2023,"7,507",2021,"7,605",2021
Brazil,Americas,"9,673",2023,"7,507",2021,"7,507",2021
Saint Vincent and the Grenadines,Americas,"9,539",2023,"8,666",2021,"8,440",2021
Gabon,Africa,"9,294",2023,"8,635",2021,"7,911",2021
Dominica,Americas,"9,144",2023,"7,653",2021,"7,571",2021
Bosnia and Herzegovina,Europe,"8,223",2023,"7,143",2021,"7,143",2021
Thailand,Asia,"8,181",2023,"7,066",2021,"7,067",2021
Armenia,Asia,"8,007",2023,"4,967",2021,"4,967",2021
Belarus,Europe,"7,944",2023,"7,302",2021,"7,121",2021
Peru,Americas,"7,772",2023,"6,622",2021,"6,622",2021
Georgia,Asia,"7,600",2023,"5,023",2021,"4,975",2021
North Macedonia,Europe,"7,384",2023,"6,695",2021,"6,600",2021
Botswana,Africa,"7,270",2023,"6,805",2021,"6,805",2021
Albania,Europe,"7,058",2023,"6,493",2021,"6,396",2021
Belize,Americas,"7,017",2023,"6,228",2021,"6,229",2021
Libya,Africa,"6,763",2023,"6,357",2021,"5,791",2021
Azerbaijan,Asia,"6,757",2023,"5,388",2021,"5,296",2021
Lebanon,Asia,"3,589",2020,"4,136",2021,"6,785",2021
Ecuador,Americas,"6,642",2023,"5,965",2021,"5,965",2021
South Africa,Africa,"6,485",2023,"7,055",2021,"7,055",2021
Colombia,Americas,"6,417",2023,"6,104",2021,"6,104",2021
Moldova,Europe,"6,342",2023,"5,231",2021,"4,468",2021
Jamaica,Americas,"6,282",2023,"5,184",2021,"5,184",2021
Iraq,Asia,"6,180",2023,"4,775",2021,"4,686",2021
Tuvalu,Oceania,"6,007",2023,"5,632",2021,"5,370",2021
Fiji,Oceania,"5,887",2023,"4,647",2021,"4,647",2021
Paraguay,Americas,"5,667",2023,"5,892",2021,"6,035",2021
Kosovo,Europe,"5,641",2023,"5,270",2021,"5,663",2021
Suriname,Americas,"5,556",2023,"4,869",2021,"5,259",2021
Tonga,Oceania,"5,421",2023,"4,426",2021,"4,451",2021
Guatemala,Americas,"5,358",2023,"5,026",2021,"4,883",2021
El Salvador,Americas,"5,308",2023,"4,551",2021,"4,551",2021
Ukraine,Europe,"4,862",2021,"4,836",2021,"4,596",2021
Marshall Islands,Oceania,"5,164",2023,"6,172",2021,"6,111",2021
Namibia,Africa,"5,100",2023,"4,866",2021,"4,836",2021
Jordan,Asia,"5,048",2023,"4,103",2021,"4,058",2021
Indonesia,Asia,"5,016",2023,"4,333",2021,"4,333",2021
Mongolia,Asia,"4,814",2023,"4,566",2021,"4,510",2021
Algeria,Africa,"4,481",2023,"3,691",2021,"3,700",2021
Vietnam,Asia,"4,475",2023,"3,757",2021,"3,756",2021
Samoa,Oceania,"4,436",2023,"3,857",2021,"3,919",2021
Micronesia,Oceania,"4,336",2023,"3,571",2021,"3,573",2021
Cape Verde,Africa,"4,278",2023,"3,293",2021,"3,293",2021
Iran,Asia,"4,251",2023,"4,091",2021,"6,766",2021
Eswatini,Africa,"4,146",2023,"3,978",2021,"3,969",2021
Tunisia,Africa,"4,071",2023,"3,807",2021,"3,807",2021
Philippines,Asia,"3,905",2023,"3,461",2021,"3,461",2021
Djibouti,Africa,"3,802",2023,"3,150",2021,"3,348",2021
Bolivia,Americas,"3,800",2023,"3,345",2021,"3,345",2021
Morocco,Africa,"3,748",2023,"3,795",2021,"3,853",2021
Egypt,Africa,"3,644",2023,"3,699",2021,"3,898",2021
Venezuela,Americas,"3,640",2023,"15,976",2014,"3,965",2021
Palestine,Asia,"3,517",2022,"3,664",2021,"3,514",2021
Papua New Guinea,Oceania,"3,517",2023,"2,673",2021,"2,673",2021
Bhutan,Asia,"3,497",2023,"3,266",2021,"3,063",2021
Sri Lanka,Asia,"3,362",2023,"4,014",2021,"3,918",2021
Honduras,Americas,"3,278",2023,"2,772",2021,"2,772",2021
Angola,Africa,"3,204",2023,"1,954",2021,"2,258",2021
Vanuatu,Oceania,"3,188",2023,"2,997",2021,"3,073",2021
São Tomé and Príncipe,Africa,"2,695",2023,"2,361",2021,"2,486",2021
Ivory Coast,Africa,"2,646",2023,"2,549",2021,"2,539",2021
India,Asia,"2,601",2023,"2,257",2021,"2,274",2021
Nicaragua,Americas,"2,589",2023,"2,046",2021,"2,046",2021
Congo,Africa,"2,584",2023,"2,290",2021,"2,200",2021
Uzbekistan,Asia,"2,562",2023,"1,983",2021,"2,032",2021
Mauritania,Africa,"2,475",2023,"2,166",2021,"2,166",2021
Bangladesh,Asia,"2,469",2023,"2,458",2021,"2,450",2021
Solomon Islands,Oceania,"2,299",2023,"2,305",2021,"2,306",2021
Nigeria,Africa,"2,280",2023,"2,066",2021,"2,019",2021
Kenya,Africa,"2,269",2023,"2,082",2021,"2,082",2021
Haiti,Americas,"2,173",2023,"1,830",2021,"1,664",2021
Ghana,Africa,"2,024",2023,"2,363",2021,"2,409",2021
Kiribati,Oceania,"1,989",2023,"1,607",2021,"1,765",2021
Cambodia,Asia,"1,896",2023,"1,625",2021,"1,608",2021
Laos,Asia,"1,858",2023,"2,536",2021,"2,569",2021
Zimbabwe,Africa,"1,851",2023,"1,774",2021,"1,508",2021
Kyrgyzstan,Asia,"1,736",2023,"1,277",2021,"1,339",2021
Senegal,Africa,"1,719",2023,"1,637",2021,"1,637",2021
Cameroon,Africa,"1,699",2023,"1,667",2021,"1,668",2021
Pakistan,Asia,"1,658",2022,"1,505",2021,"1,480",2021
Guinea,Africa,"1,594",2023,"1,189",2021,"1,185",2021
Ethiopia,Africa,"1,475",2023,925,2021,825,2021
Timor-Leste,Asia,"1,425",2023,"2,741",2021,"1,517",2021
Zambia,Africa,"1,423",2023,"1,137",2021,"1,095",2021
Benin,Africa,"1,390",2023,"1,319",2021,"1,361",2021
Nepal,Asia,"1,377",2023,"1,208",2021,"1,159",2021
Comoros,Africa,"1,360",2023,"1,578",2021,"1,631",2021
Tanzania,Africa,"1,348",2023,"1,099",2021,"1,136",2021
Zanzibar,Africa,—,—,—,—,"1,211",2021
Tajikistan,Asia,"1,277",2023,897,2021,897,2021
Lesotho,Africa,"1,208",2023,"1,094",2021,"1,040",2021
Myanmar,Asia,"1,180",2023,"1,210",2021,"1,089",2021
Uganda,Africa,"1,105",2023,884,2021,930,2021
Togo,Africa,990,2023,973,2021,944,2021
Syria,Asia,—,—,533,2020,925,2021
Sudan,Africa,975,2023,752,2021,786,2021
Guinea-Bissau,Africa,974,2023,795,2021,759,2021
Rwanda,Africa,970,2023,822,2021,822,2021
Burkina Faso,Africa,900,2023,893,2021,893,2021
Mali,Africa,889,2023,874,2021,875,2021
Gambia,Africa,861,2023,772,2021,772,2021
Liberia,Africa,805,2023,676,2021,471,2021
Eritrea,Africa,715,2023,644,2011,623,2021
DR Congo,Africa,695,2023,577,2021,551,2021
North Korea,Asia,—,—,—,—,654,2021
Chad,Africa,667,2023,686,2021,955,2021
Niger,Africa,613,2023,591,2021,591,2021
Mozambique,Africa,587,2023,492,2021,492,2021
Yemen,Asia,573,2023,702,2018,302,2021
Somalia,Africa,544,2023,447,2021,447,2021
Madagascar,Africa,536,2023,501,2021,500,2021
Central African Republic,Africa,534,2023,461,2021,461,2021
Malawi,Africa,496,2023,635,2021,613,2021
South Sudan,Africa,467,2023,"1,072",2015,400,2021
Sierra Leone,Africa,415,2023,480,2021,505,2021
Afghanistan,Asia,611,2020,369,2021,373,2021
Burundi,Africa,249,2023,222,2021,311,2021
